Agent: ppo, Model: <class 'utils.envs.WorldModel'>, State: [288], Dir: iter1/
Ep: 114, Reward: 588.9390, Test: 443.3398 [308.12], Avg: 557.7504 (0.10)
Ep: 115, Reward: 517.1206, Test: 508.9001 [205.26], Avg: 556.8332 (0.10)
Ep: 116, Reward: 556.4891, Test: 538.6974 [249.02], Avg: 554.9783 (0.10)
Ep: 117, Reward: 544.8565, Test: 577.3204 [251.63], Avg: 552.8645 (0.10)
Ep: 118, Reward: 487.9075, Test: 385.8150 [139.85], Avg: 550.8728 (0.10)
Ep: 119, Reward: 440.9547, Test: 448.6755 [197.05], Avg: 549.0518 (0.10)
Ep: 120, Reward: 486.9234, Test: 524.8772 [160.79], Avg: 547.9087 (0.10)
Ep: 121, Reward: 521.5345, Test: 437.8273 [241.94], Avg: 546.0238 (0.10)
Ep: 122, Reward: 516.4230, Test: 456.1526 [227.03], Avg: 545.0511 (0.10)
Ep: 123, Reward: 451.9386, Test: 438.3584 [205.88], Avg: 544.9364 (0.10)
Ep: 124, Reward: 563.6189, Test: 510.4169 [228.84], Avg: 543.9775 (0.10)
Ep: 125, Reward: 466.0488, Test: 394.9194 [187.95], Avg: 544.0839 (0.10)
Ep: 126, Reward: 319.6714, Test: 314.2384 [154.17], Avg: 543.3564 (0.10)
Ep: 127, Reward: 369.4429, Test: 370.9126 [196.79], Avg: 541.2163 (0.10)
Ep: 128, Reward: 378.8971, Test: 424.2501 [186.44], Avg: 541.8017 (0.10)
Ep: 129, Reward: 344.9105, Test: 376.6698 [141.44], Avg: 541.7193 (0.10)
Ep: 130, Reward: 430.3545, Test: 329.5096 [163.71], Avg: 539.9984 (0.10)
Ep: 131, Reward: 402.2819, Test: 255.0393 [114.72], Avg: 536.1930 (0.10)
Ep: 132, Reward: 333.3362, Test: 313.1330 [192.06], Avg: 533.6580 (0.10)
Ep: 133, Reward: 330.6440, Test: 377.7540 [120.98], Avg: 532.1456 (0.10)
Ep: 134, Reward: 343.8954, Test: 480.5056 [130.24], Avg: 532.3528 (0.10)
Ep: 135, Reward: 408.3900, Test: 443.0593 [204.91], Avg: 531.0704 (0.10)
Ep: 136, Reward: 491.1548, Test: 401.8769 [205.51], Avg: 529.2899 (0.10)
Ep: 137, Reward: 586.3919, Test: 486.5701 [237.04], Avg: 527.4063 (0.10)
Ep: 138, Reward: 417.6678, Test: 352.8082 [219.99], Avg: 524.6118 (0.10)
Ep: 139, Reward: 429.8442, Test: 432.5782 [186.75], Avg: 523.4085 (0.10)
Ep: 140, Reward: 419.6203, Test: 387.4344 [162.07], Avg: 522.9526 (0.10)
Ep: 141, Reward: 379.9513, Test: 306.5097 [185.33], Avg: 520.7985 (0.10)
Ep: 142, Reward: 430.7691, Test: 496.6811 [205.61], Avg: 519.8688 (0.10)
Ep: 143, Reward: 510.9772, Test: 542.1251 [178.45], Avg: 520.1913 (0.10)
Ep: 144, Reward: 516.8154, Test: 490.6918 [210.21], Avg: 519.5753 (0.10)
Ep: 145, Reward: 496.7444, Test: 534.1348 [254.75], Avg: 520.4475 (0.10)
