Agent: ppo, Model: <class 'utils.envs.ImgStack'>, State: [64, 64, 2], Dir: pytorch
Ep: 116, Reward: -17.5235, Test: -47.2551 [52.804484786473964], Avg: -52.8489 (0.1000)
Ep: 117, Reward: -27.4996, Test: -10.0640 [26.103726595535857], Avg: -52.3309 (0.1000)
Ep: 118, Reward: -24.8999, Test: -26.3841 [52.65784099265217], Avg: -51.9044 (0.1000)
Ep: 119, Reward: -3.4919, Test: -2.3992 [53.98840438569347], Avg: -51.3790 (0.1000)
Ep: 120, Reward: -12.0211, Test: 12.8519 [42.08316529224312], Avg: -50.7197 (0.1000)
Ep: 121, Reward: -13.8706, Test: -17.6326 [60.04243777512235], Avg: -50.2531 (0.1000)
Ep: 122, Reward: -10.1149, Test: 5.1178 [61.6970680238986], Avg: -49.5336 (0.1000)
Ep: 123, Reward: 4.0741, Test: 29.2548 [55.66228372292892], Avg: -48.6153 (0.1000)
Ep: 124, Reward: 21.2333, Test: 34.7676 [61.003494447528674], Avg: -47.6371 (0.1000)
Ep: 125, Reward: 25.3629, Test: 43.2848 [66.78447808921074], Avg: -46.5466 (0.1000)
Ep: 126, Reward: 20.8570, Test: 40.3628 [56.125985670892845], Avg: -45.5173 (0.1000)
Ep: 127, Reward: 68.5148, Test: 48.1882 [67.09106439500877], Avg: -44.4159 (0.1000)
Ep: 128, Reward: 97.0434, Test: 52.9684 [69.11096748627156], Avg: -43.2581 (0.1000)
Ep: 129, Reward: 95.0835, Test: 110.6361 [56.89090373673491], Avg: -41.4978 (0.1000)
Ep: 130, Reward: 103.0114, Test: 55.7040 [57.60747886159744], Avg: -40.2518 (0.1000)
Ep: 131, Reward: 109.7998, Test: 77.2348 [79.45671176490063], Avg: -38.8880 (0.1000)
Ep: 132, Reward: 126.5303, Test: 107.3550 [81.09886589204024], Avg: -37.2506 (0.1000)
Ep: 133, Reward: 203.3776, Test: 50.7135 [61.87454469913476], Avg: -36.1594 (0.1000)
Ep: 134, Reward: 76.6020, Test: 57.0547 [70.8152875839641], Avg: -35.0860 (0.1000)
Ep: 135, Reward: 123.6569, Test: 64.0010 [67.98446565429191], Avg: -33.9193 (0.1000)
Ep: 136, Reward: 125.7715, Test: 157.8876 [108.69703551982441], Avg: -31.8297 (0.1000)
Ep: 137, Reward: 113.2795, Test: 71.8387 [38.94762517995438], Avg: -30.7327 (0.1000)
Ep: 138, Reward: 173.3172, Test: 169.5427 [136.8963257105634], Avg: -28.4975 (0.1000)
Ep: 139, Reward: 175.9609, Test: 211.7754 [138.59694106777042], Avg: -25.7525 (0.1000)
Ep: 140, Reward: 133.1403, Test: 114.8109 [116.71913880380426], Avg: -23.8716 (0.1000)
Ep: 141, Reward: 166.0375, Test: 79.8239 [92.8347513662844], Avg: -22.4040 (0.1000)
Ep: 142, Reward: 167.1712, Test: 63.3759 [46.5016030971239], Avg: -21.3405 (0.1000)
Ep: 143, Reward: 89.4973, Test: 50.2106 [54.065939451940054], Avg: -20.3152 (0.1000)
Ep: 144, Reward: 58.4035, Test: 123.1662 [74.08298903597846], Avg: -18.4308 (0.1000)
Ep: 145, Reward: 112.3200, Test: 30.9212 [43.99265443905376], Avg: -17.4383 (0.1000)
Ep: 146, Reward: 61.6072, Test: 89.5693 [77.14434991454428], Avg: -16.0604 (0.1000)
