Agent: ddpg, Model: <class 'utils.envs.WorldModel'>, State: [288], Dir: iter1/
Ep: 100, Reward: 46.3760, Test: 198.0206 [89.02], Avg: 85.4500 (0.36)
Ep: 101, Reward: 29.1742, Test: 134.3676 [80.94], Avg: 86.8186 (0.36)
Ep: 102, Reward: 14.8445, Test: 290.8362 [90.89], Avg: 89.6651 (0.35)
Ep: 103, Reward: 13.5267, Test: 296.4053 [152.04], Avg: 91.9525 (0.35)
Ep: 104, Reward: 8.7208, Test: 345.6413 [189.23], Avg: 94.3407 (0.34)
Ep: 105, Reward: 10.1573, Test: 257.6563 [95.84], Avg: 96.6723 (0.34)
Ep: 106, Reward: 56.0255, Test: 366.8076 [220.20], Avg: 98.9817 (0.34)
Ep: 107, Reward: 66.1139, Test: 344.3746 [115.78], Avg: 102.1133 (0.33)
Ep: 108, Reward: 48.1602, Test: 203.1744 [103.54], Avg: 103.7676 (0.33)
Ep: 109, Reward: 120.6630, Test: 216.8570 [101.15], Avg: 105.3976 (0.33)
Ep: 110, Reward: 61.8638, Test: 274.6533 [82.01], Avg: 108.0784 (0.32)
Ep: 111, Reward: 65.6256, Test: 290.7964 [112.78], Avg: 110.6899 (0.32)
Ep: 112, Reward: 52.7317, Test: 236.1098 [100.49], Avg: 112.4581 (0.32)
Ep: 113, Reward: 53.0961, Test: 260.9322 [70.94], Avg: 115.2324 (0.31)
Ep: 114, Reward: 95.3708, Test: 231.3372 [92.01], Avg: 117.4153 (0.31)
Ep: 115, Reward: 38.8722, Test: 220.0354 [134.33], Avg: 119.0731 (0.31)
Ep: 116, Reward: 82.2494, Test: 226.8928 [84.51], Avg: 121.3310 (0.31)
Ep: 117, Reward: 58.6352, Test: 193.3595 [107.07], Avg: 123.0120 (0.30)
Ep: 118, Reward: 108.2252, Test: 206.2494 [134.80], Avg: 124.4238 (0.30)
Ep: 119, Reward: 57.5904, Test: 187.7637 [68.82], Avg: 126.3166 (0.30)
Ep: 120, Reward: 94.1103, Test: 209.4269 [169.69], Avg: 126.9438 (0.29)
Ep: 121, Reward: 106.7727, Test: 258.6480 [114.24], Avg: 129.1366 (0.29)
Ep: 122, Reward: 116.8223, Test: 6.5804 [27.48], Avg: 129.0963 (0.29)
Ep: 123, Reward: 105.2773, Test: 115.3721 [76.35], Avg: 128.4235 (0.28)
Ep: 124, Reward: 73.8378, Test: 122.7050 [191.63], Avg: 126.8789 (0.28)
Ep: 125, Reward: 72.3002, Test: 96.5132 [152.91], Avg: 125.2795 (0.28)
Ep: 126, Reward: 150.3845, Test: 79.6175 [99.87], Avg: 123.9096 (0.28)
Ep: 127, Reward: 67.5067, Test: 25.3596 [59.31], Avg: 121.7121 (0.27)
Ep: 128, Reward: 67.5230, Test: 85.6019 [90.53], Avg: 120.4427 (0.27)
Ep: 129, Reward: 71.4024, Test: 150.2509 [120.49], Avg: 119.7080 (0.27)
Ep: 130, Reward: 96.9563, Test: 89.9451 [104.06], Avg: 117.9621 (0.27)
Ep: 131, Reward: 75.8681, Test: 189.8718 [113.25], Avg: 117.7810 (0.26)
Ep: 132, Reward: 95.9213, Test: 146.2408 [90.09], Avg: 116.5152 (0.26)
Ep: 133, Reward: 131.9603, Test: 395.4195 [198.73], Avg: 117.2763 (0.26)
Ep: 134, Reward: 113.6551, Test: 261.5599 [130.87], Avg: 117.6686 (0.25)
Ep: 135, Reward: 124.8175, Test: 342.6326 [189.44], Avg: 118.0767 (0.25)
Ep: 136, Reward: 201.4244, Test: 244.4220 [161.32], Avg: 118.4365 (0.25)
Ep: 137, Reward: 100.8715, Test: 234.5656 [81.41], Avg: 118.8697 (0.25)
Ep: 138, Reward: 176.1253, Test: 263.5003 [134.90], Avg: 118.8465 (0.24)
Ep: 139, Reward: 164.6015, Test: 337.1105 [171.60], Avg: 119.7665 (0.24)
Ep: 140, Reward: 151.9804, Test: 212.3272 [88.05], Avg: 119.4753 (0.24)
Ep: 141, Reward: 207.4455, Test: 231.5225 [102.74], Avg: 118.8159 (0.24)
Ep: 142, Reward: 197.1718, Test: 205.9584 [71.58], Avg: 118.5462 (0.24)
Ep: 143, Reward: 167.2965, Test: 186.2426 [122.64], Avg: 118.0364 (0.23)
