Iteration 1
Ep: 0-44, Best score: 888.6243, Min: 723.6952, Avg: 807.8203
Ep: 0-43, Best score: 866.9278, Min: 540.7564, Avg: 789.3976
Ep: 0-42, Best score: 880.8263, Min: 696.2846, Avg: 786.8676
Ep: 0-41, Best score: 896.8105, Min: 688.2893, Avg: 789.1182
Ep: 0-40, Best score: 850.9523, Min: 672.3103, Avg: 776.5690
Ep: 0-39, Best score: 879.1239, Min: 666.7051, Avg: 784.5340
Ep: 0-38, Best score: 867.6511, Min: 710.6909, Avg: 787.9929
Ep: 0-37, Best score: 896.8606, Min: 620.3672, Avg: 803.3439
Ep: 0-36, Best score: 876.3406, Min: 740.7738, Avg: 818.7132
Ep: 0-35, Best score: 877.8617, Min: 629.2675, Avg: 798.2612
Ep: 0-34, Best score: 902.5483, Min: 710.6222, Avg: 813.2999
Ep: 0-33, Best score: 891.2879, Min: 586.5084, Avg: 775.6862
Ep: 0-32, Best score: 890.4535, Min: 604.9241, Avg: 789.2928
Ep: 0-31, Best score: 887.9208, Min: 683.5226, Avg: 802.0695
Ep: 0-30, Best score: 873.9068, Min: 578.3137, Avg: 787.8346
Ep: 0-29, Best score: 870.9953, Min: 578.7481, Avg: 772.8282
Ep: 0-28, Best score: 879.2219, Min: 730.3583, Avg: 825.6585
Ep: 0-27, Best score: 859.5955, Min: 662.5786, Avg: 755.6683
Ep: 0-26, Best score: 861.0868, Min: 663.1214, Avg: 781.5556
Ep: 0-25, Best score: 871.1092, Min: 640.0102, Avg: 797.3433
Ep: 0-24, Best score: 895.5859, Min: 623.6892, Avg: 825.0892
Ep: 0-23, Best score: 880.7977, Min: 678.1859, Avg: 790.4434
Ep: 0-22, Best score: 885.7478, Min: 653.0792, Avg: 816.5814
Ep: 0-21, Best score: 881.2130, Min: 696.2999, Avg: 791.2348
Ep: 0-20, Best score: 879.7788, Min: 637.2457, Avg: 798.3550
Ep: 0-19, Best score: 872.3216, Min: 677.6035, Avg: 787.0503
Ep: 0-18, Best score: 879.1880, Min: 747.1296, Avg: 825.9501
Ep: 0-17, Best score: 847.6972, Min: 602.0140, Avg: 765.8288
Ep: 0-16, Best score: 878.1159, Min: 615.8197, Avg: 799.7361
Ep: 0-15, Best score: 902.0631, Min: 677.4211, Avg: 830.4443
Ep: 0-14, Best score: 908.1500, Min: 725.7880, Avg: 813.9493
Ep: 0-13, Best score: 902.2162, Min: 688.2666, Avg: 829.3114
Ep: 0-12, Best score: 895.7082, Min: 682.6708, Avg: 804.4894
Ep: 0-11, Best score: 880.1856, Min: 672.1899, Avg: 793.8219
Ep: 0-10, Best score: 893.3942, Min: 677.7048, Avg: 812.8915
Ep: 0-9, Best score: 890.5516, Min: 578.3379, Avg: 778.4394
Ep: 0-8, Best score: 877.4622, Min: 665.4299, Avg: 797.0151
Ep: 0-7, Best score: 884.1198, Min: 668.3660, Avg: 803.0516
Ep: 0-6, Best score: 908.5609, Min: 661.3070, Avg: 804.1583
Ep: 0-5, Best score: 886.2241, Min: 570.5228, Avg: 777.7088
Ep: 0-4, Best score: 900.3216, Min: 677.5492, Avg: 847.1378
Ep: 0-3, Best score: 901.5749, Min: 634.6868, Avg: 803.8086
Ep: 0-2, Best score: 896.6661, Min: 715.6258, Avg: 825.6522
Ep: 0-1, Best score: 890.1922, Min: 732.7006, Avg: 820.6818
Ep: 0-0, Best score: 909.2250, Min: 512.7767, Avg: 813.7348
Ep: 1-199, Best score: 892.3455, Min: 558.4502, Avg: 764.1901
Ep: 1-198, Best score: 875.5324, Min: 474.0983, Avg: 746.7018
Ep: 1-197, Best score: 855.8100, Min: 562.3575, Avg: 766.4795
Ep: 1-196, Best score: 867.0863, Min: 617.6378, Avg: 759.5481
Ep: 1-195, Best score: 871.1765, Min: 648.5806, Avg: 781.0223
Ep: 1-194, Best score: 821.5506, Min: 661.6838, Avg: 765.0474
Ep: 1-193, Best score: 876.9708, Min: 702.8412, Avg: 779.1764
Ep: 1-192, Best score: 886.6010, Min: 682.9849, Avg: 806.2500
Ep: 1-191, Best score: 891.4140, Min: 656.1507, Avg: 800.7747
Ep: 1-190, Best score: 890.6506, Min: 613.0889, Avg: 774.4198
Ep: 1-189, Best score: 898.8525, Min: 689.4740, Avg: 809.3810
Ep: 1-188, Best score: 891.0624, Min: 681.9421, Avg: 822.7603
Ep: 1-187, Best score: 878.0973, Min: 693.6442, Avg: 830.9876
Ep: 1-186, Best score: 902.9730, Min: 624.8838, Avg: 810.8088
Ep: 1-185, Best score: 897.9888, Min: 591.5205, Avg: 780.9979
Ep: 1-184, Best score: 895.4811, Min: 600.4292, Avg: 808.7708
Ep: 1-183, Best score: 880.2839, Min: 558.3420, Avg: 781.9907
Ep: 1-182, Best score: 901.4330, Min: 670.3933, Avg: 809.8333
Ep: 1-181, Best score: 900.1985, Min: 698.3635, Avg: 829.9566
Ep: 1-180, Best score: 900.7246, Min: 581.3944, Avg: 786.7424
Ep: 1-179, Best score: 895.1170, Min: 407.2355, Avg: 738.9056
Ep: 1-178, Best score: 872.1385, Min: 639.0200, Avg: 766.2392
Ep: 1-177, Best score: 901.9120, Min: 687.9406, Avg: 800.6693
Ep: 1-176, Best score: 883.1753, Min: 716.8371, Avg: 807.2810
Ep: 1-175, Best score: 888.2660, Min: 656.6404, Avg: 794.3231
Ep: 1-174, Best score: 893.8160, Min: 676.0605, Avg: 801.2483
Ep: 1-173, Best score: 899.4211, Min: 688.1808, Avg: 826.4710
Ep: 1-172, Best score: 896.3055, Min: 707.6323, Avg: 814.0073
Ep: 1-171, Best score: 895.7029, Min: 750.1820, Avg: 840.9989
