Agent: ppo, Model: <class 'utils.envs.WorldModel'>, State: [288], Dir: iter1/
Ep: 202, Reward: 441.6626, Test: 315.7564 [182.82], Avg: 195.3276 (0.53)
Ep: 203, Reward: 395.5479, Test: 387.6429 [195.04], Avg: 196.6441 (0.53)
Ep: 204, Reward: 380.1634, Test: 404.9353 [341.44], Avg: 196.5893 (0.53)
Ep: 205, Reward: 354.8890, Test: 439.3281 [243.76], Avg: 195.2430 (0.53)
Ep: 206, Reward: 498.0458, Test: 301.4848 [135.30], Avg: 193.8881 (0.52)
Ep: 207, Reward: 426.2483, Test: 262.1757 [96.73], Avg: 192.7911 (0.52)
Ep: 208, Reward: 424.8368, Test: 467.6896 [196.21], Avg: 191.0449 (0.52)
Ep: 209, Reward: 360.1756, Test: 441.7908 [209.24], Avg: 190.3568 (0.52)
Ep: 210, Reward: 387.6552, Test: 453.1810 [275.51], Avg: 188.7229 (0.52)
Ep: 211, Reward: 424.2263, Test: 446.7994 [186.84], Avg: 188.6807 (0.52)
Ep: 212, Reward: 491.1929, Test: 375.4087 [206.43], Avg: 187.9260 (0.51)
Ep: 213, Reward: 431.3614, Test: 352.3133 [172.10], Avg: 188.6868 (0.51)
Ep: 214, Reward: 470.2867, Test: 331.4883 [214.44], Avg: 185.8825 (0.51)
Ep: 215, Reward: 467.1798, Test: 374.8063 [220.21], Avg: 184.9592 (0.51)
Ep: 216, Reward: 450.7289, Test: 385.9899 [138.61], Avg: 185.0415 (0.51)
Ep: 217, Reward: 456.3727, Test: 442.0596 [203.48], Avg: 183.8274 (0.51)
Ep: 218, Reward: 343.1312, Test: 469.9000 [210.10], Avg: 181.6073 (0.51)
Ep: 219, Reward: 372.6765, Test: 240.2179 [237.16], Avg: 178.1764 (0.50)
Ep: 220, Reward: 423.7537, Test: 351.7844 [156.41], Avg: 177.1769 (0.50)
Ep: 221, Reward: 417.8384, Test: 525.1379 [196.58], Avg: 177.3479 (0.50)
Ep: 222, Reward: 392.5144, Test: 342.5879 [191.03], Avg: 177.3905 (0.50)
Ep: 223, Reward: 438.8074, Test: 296.8113 [154.92], Avg: 176.4783 (0.50)
Ep: 224, Reward: 422.2343, Test: 221.2604 [210.68], Avg: 175.2938 (0.50)
Ep: 225, Reward: 359.9823, Test: 391.9103 [268.10], Avg: 174.0102 (0.49)
Ep: 226, Reward: 399.4971, Test: 384.9940 [195.05], Avg: 173.1469 (0.49)
Ep: 227, Reward: 350.4840, Test: 310.6704 [152.04], Avg: 173.0221 (0.49)
Ep: 228, Reward: 431.9160, Test: 348.5102 [198.22], Avg: 173.3484 (0.49)
Ep: 229, Reward: 374.8950, Test: 329.9100 [131.75], Avg: 173.3084 (0.49)
Ep: 230, Reward: 378.1977, Test: 259.6066 [224.99], Avg: 171.4912 (0.49)
Ep: 231, Reward: 362.6259, Test: 403.6850 [219.94], Avg: 170.5745 (0.48)
Ep: 232, Reward: 304.1655, Test: 341.4550 [263.66], Avg: 168.7752 (0.48)
Ep: 233, Reward: 296.1584, Test: 294.7946 [107.11], Avg: 168.9508 (0.48)
Ep: 234, Reward: 321.0345, Test: 343.0634 [205.48], Avg: 167.1530 (0.48)
Ep: 235, Reward: 297.2431, Test: 264.0028 [202.05], Avg: 165.9997 (0.48)
Ep: 236, Reward: 284.1406, Test: 317.2980 [80.57], Avg: 165.7272 (0.48)
Ep: 237, Reward: 344.5298, Test: 380.5163 [245.35], Avg: 164.4706 (0.48)
Ep: 238, Reward: 297.0508, Test: 273.9297 [107.81], Avg: 163.4880 (0.47)
Ep: 239, Reward: 351.2567, Test: 289.9509 [166.54], Avg: 163.8972 (0.47)
Ep: 240, Reward: 349.5496, Test: 346.0676 [195.34], Avg: 163.4042 (0.47)
Ep: 241, Reward: 240.3506, Test: 278.3668 [91.30], Avg: 162.6559 (0.47)
Ep: 242, Reward: 266.0488, Test: 267.7537 [181.23], Avg: 161.9094 (0.47)
Ep: 243, Reward: 400.5085, Test: 310.2759 [128.97], Avg: 161.2098 (0.47)
Ep: 244, Reward: 265.8677, Test: 280.1027 [130.78], Avg: 160.7807 (0.46)
Ep: 245, Reward: 285.9778, Test: 253.4324 [144.31], Avg: 160.4056 (0.46)
Ep: 246, Reward: 258.8805, Test: 232.0348 [151.41], Avg: 159.8992 (0.46)
Ep: 247, Reward: 279.4120, Test: 266.7827 [99.80], Avg: 159.8929 (0.46)
Ep: 248, Reward: 299.0209, Test: 283.9491 [103.51], Avg: 159.3185 (0.46)
Ep: 249, Reward: 179.3812, Test: 167.7962 [116.46], Avg: 156.7409 (0.46)
