Iteration 0
Ep: 0-32, Best score: 633.8388, Min: 323.4459, Avg: 467.5808
Ep: 0-31, Best score: 686.1754, Min: 328.4958, Avg: 511.4860
Ep: 0-30, Best score: 667.0052, Min: 346.3017, Avg: 524.5294
Ep: 0-29, Best score: 678.5454, Min: 429.6128, Avg: 536.5213
Ep: 0-28, Best score: 653.3404, Min: 370.7349, Avg: 525.4013
Ep: 0-27, Best score: 638.5880, Min: 361.8605, Avg: 543.0454
Ep: 0-26, Best score: 663.0309, Min: 275.1772, Avg: 490.1968
Ep: 0-25, Best score: 730.7678, Min: 425.6704, Avg: 567.9853
Ep: 0-24, Best score: 715.6681, Min: 319.5844, Avg: 539.6007
Ep: 0-23, Best score: 699.7342, Min: 369.8839, Avg: 524.1223
Ep: 0-22, Best score: 686.2978, Min: 180.4258, Avg: 523.4148
Ep: 0-21, Best score: 673.5058, Min: 382.2191, Avg: 513.1819
Ep: 0-20, Best score: 727.0122, Min: 416.3890, Avg: 554.3360
Ep: 0-19, Best score: 614.8199, Min: 382.9076, Avg: 527.1140
Ep: 0-18, Best score: 736.4927, Min: 347.4962, Avg: 560.1306
Ep: 0-17, Best score: 672.5036, Min: 374.4252, Avg: 538.3038
Ep: 0-16, Best score: 635.3641, Min: 438.0982, Avg: 535.9254
Ep: 0-15, Best score: 622.7418, Min: 200.9990, Avg: 506.6663
Ep: 0-14, Best score: 734.2403, Min: 251.1773, Avg: 509.7064
Ep: 0-13, Best score: 669.5286, Min: 249.6275, Avg: 522.7749
Ep: 0-12, Best score: 796.4634, Min: 400.8368, Avg: 562.8797
Ep: 0-11, Best score: 723.0889, Min: 348.4088, Avg: 565.3574
Ep: 0-10, Best score: 712.7164, Min: 178.2469, Avg: 514.9050
Ep: 0-9, Best score: 746.4928, Min: 350.2532, Avg: 552.1470
Ep: 0-8, Best score: 679.2717, Min: 458.7584, Avg: 565.8747
Ep: 0-7, Best score: 744.5652, Min: 358.7514, Avg: 531.0808
Ep: 0-6, Best score: 700.8636, Min: 318.6130, Avg: 536.5618
Ep: 0-5, Best score: 680.4122, Min: 322.6167, Avg: 504.9791
Ep: 0-4, Best score: 701.9769, Min: 428.5934, Avg: 563.2776
Ep: 0-3, Best score: 700.9684, Min: 345.8499, Avg: 510.3485
Ep: 0-2, Best score: 681.6736, Min: 381.1912, Avg: 547.9829
Ep: 0-1, Best score: 676.7010, Min: 374.1492, Avg: 515.8411
Ep: 0-0, Best score: 703.6609, Min: 470.6541, Avg: 567.4903
Ep: 1-199, Best score: 674.1399, Min: 368.3225, Avg: 562.2461
Ep: 1-198, Best score: 744.0147, Min: 304.1571, Avg: 515.4756
Ep: 1-197, Best score: 696.9516, Min: 274.3216, Avg: 517.7638
Ep: 1-196, Best score: 645.7926, Min: 364.0545, Avg: 498.5492
Ep: 1-195, Best score: 740.5747, Min: 375.2772, Avg: 530.1758
Ep: 1-194, Best score: 710.3832, Min: 244.6376, Avg: 532.2416
Ep: 1-193, Best score: 656.0572, Min: 391.9224, Avg: 543.3635
Ep: 1-192, Best score: 689.7927, Min: 418.6148, Avg: 540.5091
Ep: 1-191, Best score: 738.3308, Min: 453.3001, Avg: 589.2543
Ep: 1-190, Best score: 643.7421, Min: 426.7701, Avg: 542.0128
Ep: 1-189, Best score: 712.7431, Min: 407.2724, Avg: 547.2526
Ep: 1-188, Best score: 723.6023, Min: 363.3336, Avg: 566.0054
Ep: 1-187, Best score: 694.1294, Min: 450.2594, Avg: 568.0116
Ep: 1-186, Best score: 736.5468, Min: 425.0498, Avg: 564.7809
Ep: 1-185, Best score: 714.2362, Min: 415.0204, Avg: 561.0136
Ep: 1-184, Best score: 755.3258, Min: 430.6633, Avg: 580.9820
Ep: 1-183, Best score: 687.7839, Min: 421.9667, Avg: 557.6185
Ep: 1-182, Best score: 663.0932, Min: 294.3886, Avg: 548.7540
Ep: 1-181, Best score: 730.0839, Min: 437.9774, Avg: 585.0841
Ep: 1-180, Best score: 691.8053, Min: 397.2856, Avg: 571.2985
Ep: 1-179, Best score: 692.3859, Min: 390.6443, Avg: 568.4572
Ep: 1-178, Best score: 691.3850, Min: 500.7280, Avg: 579.8703
Ep: 1-177, Best score: 653.5675, Min: 417.2793, Avg: 552.1770
Ep: 1-176, Best score: 706.1201, Min: 399.3257, Avg: 569.6650
Ep: 1-175, Best score: 682.5536, Min: 332.4847, Avg: 546.6566
Ep: 1-174, Best score: 691.5458, Min: 476.9863, Avg: 596.2507
Ep: 1-173, Best score: 680.7410, Min: 311.2144, Avg: 526.8114
Ep: 1-172, Best score: 634.4159, Min: 436.2131, Avg: 554.5162
Ep: 1-171, Best score: 685.9005, Min: 393.5906, Avg: 541.9326
Ep: 1-170, Best score: 640.8454, Min: 400.9226, Avg: 524.9877
Ep: 1-169, Best score: 607.3056, Min: 401.3151, Avg: 527.5038
Ep: 1-168, Best score: 680.0730, Min: 405.4381, Avg: 542.0794
Ep: 1-167, Best score: 633.4409, Min: 355.1204, Avg: 534.2327
Ep: 1-166, Best score: 610.2735, Min: 403.0639, Avg: 504.9865
Ep: 1-165, Best score: 673.4744, Min: 419.7395, Avg: 512.2532
Ep: 1-164, Best score: 666.4999, Min: 403.6368, Avg: 545.5129
Ep: 1-163, Best score: 611.1401, Min: 436.9496, Avg: 524.2159
Ep: 1-162, Best score: 614.8319, Min: 388.3381, Avg: 531.0602
Ep: 1-161, Best score: 654.7285, Min: 339.8040, Avg: 510.1089
Ep: 1-160, Best score: 668.5699, Min: 308.8589, Avg: 495.0422
Ep: 1-159, Best score: 696.0683, Min: 401.9828, Avg: 563.8289
Ep: 1-158, Best score: 673.4872, Min: 336.8810, Avg: 519.9515
Ep: 1-157, Best score: 700.3249, Min: 372.8501, Avg: 514.0081
Ep: 1-156, Best score: 750.1393, Min: 409.8609, Avg: 568.2160
Ep: 1-155, Best score: 633.3178, Min: 386.3494, Avg: 495.2177
Ep: 1-154, Best score: 609.6644, Min: 430.8041, Avg: 515.1639
Ep: 1-153, Best score: 665.9476, Min: 358.8845, Avg: 538.3149
Ep: 1-152, Best score: 688.6798, Min: 308.9978, Avg: 527.2787
Ep: 1-151, Best score: 692.2778, Min: 422.8049, Avg: 529.7506
Ep: 1-150, Best score: 622.2022, Min: 396.9119, Avg: 512.2808
#Ep: 1-149, Best score: 666.5442, Min: 426.5043, Avg: 562.8778
#Ep: 1-148, Best score: 629.6768, Min: 287.9832, Avg: 472.5284
#Ep: 1-147, Best score: 661.8826, Min: 273.9749, Avg: 481.2205
#Ep: 1-146, Best score: 730.3126, Min: 379.1652, Avg: 540.0385
#Ep: 1-145, Best score: 714.7936, Min: 418.2740, Avg: 532.4309
#Ep: 1-144, Best score: 620.1042, Min: 322.5429, Avg: 496.2724
#Ep: 1-143, Best score: 647.7125, Min: 421.1858, Avg: 564.7095
#Ep: 1-142, Best score: 688.3436, Min: 480.1798, Avg: 570.2440
#Ep: 1-141, Best score: 674.1886, Min: 423.1403, Avg: 562.0758
#Ep: 1-140, Best score: 669.8301, Min: 437.6574, Avg: 573.3242
#Ep: 1-139, Best score: 654.0624, Min: 456.0745, Avg: 545.7118
#Ep: 1-138, Best score: 755.6865, Min: 420.7853, Avg: 587.7389
#Ep: 1-137, Best score: 681.6795, Min: 371.5600, Avg: 565.1608
#Ep: 1-136, Best score: 679.8950, Min: 359.4895, Avg: 544.8220
#Ep: 1-135, Best score: 699.0542, Min: 391.2025, Avg: 589.7973
#Ep: 1-134, Best score: 666.3197, Min: 484.6628, Avg: 569.9829
#Ep: 1-133, Best score: 732.8026, Min: 312.0121, Avg: 551.4539
#Ep: 1-132, Best score: 691.0282, Min: 348.0449, Avg: 555.2351
#Ep: 1-131, Best score: 659.6971, Min: 425.5542, Avg: 521.9523
#Ep: 1-130, Best score: 655.3654, Min: 433.4695, Avg: 543.7804
#Ep: 1-129, Best score: 746.8208, Min: 379.4005, Avg: 564.9543
#Ep: 1-128, Best score: 679.3537, Min: 467.9403, Avg: 586.4948
#Ep: 1-127, Best score: 699.2876, Min: 408.4088, Avg: 552.9400
#Ep: 1-126, Best score: 638.8052, Min: 274.6874, Avg: 500.9962
#Ep: 1-125, Best score: 641.5636, Min: 462.9000, Avg: 558.3627
#Ep: 1-124, Best score: 688.5801, Min: 315.7158, Avg: 520.0800
#Ep: 1-123, Best score: 718.5793, Min: 368.6963, Avg: 576.8950
#Ep: 1-122, Best score: 721.7265, Min: 455.7036, Avg: 568.6743
#Ep: 1-121, Best score: 675.1926, Min: 312.1504, Avg: 528.2956
#Ep: 1-120, Best score: 671.3500, Min: 432.1042, Avg: 576.8861
#Ep: 1-119, Best score: 651.8708, Min: 497.8980, Avg: 559.4717
#Ep: 1-118, Best score: 719.2674, Min: 476.8833, Avg: 592.5088
#Ep: 1-117, Best score: 660.0264, Min: 324.5953, Avg: 546.9066
#Ep: 1-116, Best score: 741.3555, Min: 476.2026, Avg: 613.6206
#Ep: 1-115, Best score: 768.9032, Min: 406.3964, Avg: 604.5634
