Ep: 0-22, Best score: 156.4935, Min: 45.2991, Avg: 97.2367
Ep: 0-21, Best score: 147.1483, Min: -39.3939, Avg: 75.5592
Ep: 0-20, Best score: 89.3688, Min: -16.9329, Avg: 37.3609
Ep: 0-19, Best score: 122.9102, Min: -3.7801, Avg: 56.4399
Ep: 0-18, Best score: 165.9574, Min: -9.4650, Avg: 98.2812
Ep: 0-17, Best score: 157.4627, Min: 55.9140, Avg: 106.2013
Ep: 0-16, Best score: 135.5072, Min: -40.4389, Avg: 53.1320
Ep: 0-15, Best score: 162.4585, Min: -0.3690, Avg: 87.0486
Ep: 0-14, Best score: 170.8333, Min: -6.7524, Avg: 65.8679
Ep: 0-13, Best score: 37.1237, Min: -19.4631, Avg: 6.7838
Ep: 0-12, Best score: 123.8267, Min: -30.2326, Avg: 74.3861
Ep: 0-11, Best score: 125.3521, Min: -39.1635, Avg: 55.7582
Ep: 0-10, Best score: 114.5110, Min: -11.9497, Avg: 40.6659
Ep: 0-9, Best score: 113.1783, Min: 78.9474, Avg: 98.1464
Ep: 0-8, Best score: 108.7912, Min: 54.0616, Avg: 89.6856
Ep: 0-7, Best score: 66.0900, Min: 38.6139, Avg: 49.7389
Ep: 0-6, Best score: 83.9465, Min: 25.3406, Avg: 59.4320
Ep: 0-5, Best score: 58.4158, Min: 6.3123, Avg: 31.7184
Ep: 0-4, Best score: 52.8662, Min: 4.4304, Avg: 23.7640
Ep: 0-3, Best score: 86.8132, Min: 28.8344, Avg: 58.0517
Ep: 0-2, Best score: 86.6667, Min: 15.6463, Avg: 55.0617
Ep: 0-1, Best score: 25.4019, Min: -52.2184, Avg: -7.1662
Ep: 0-0, Best score: 87.2659, Min: 27.6596, Avg: 58.3710
Ep: 1-199, Best score: 140.7407, Min: 21.0191, Avg: 76.0967
Ep: 1-198, Best score: 186.2454, Min: -72.8814, Avg: 100.5482
Ep: 1-197, Best score: 212.2677, Min: -46.9965, Avg: 82.7665
Ep: 1-196, Best score: 193.9189, Min: 16.4384, Avg: 117.9620
Ep: 1-195, Best score: 136.4865, Min: -28.8026, Avg: 81.9661
Ep: 1-194, Best score: 143.1507, Min: 56.8627, Avg: 95.6453
Ep: 1-193, Best score: 187.1622, Min: -63.9344, Avg: 89.9697
Ep: 1-192, Best score: 122.5705, Min: 48.0144, Avg: 88.6087
Ep: 1-191, Best score: 172.1311, Min: -13.4615, Avg: 70.8620
