Ep: 0-298, Best score: -15.5405, Min: -82.4047, Avg: -45.6555
Ep: 0-297, Best score: -29.0541, Min: -76.4310, Avg: -48.5241
Ep: 0-296, Best score: -20.7547, Min: -47.1831, Avg: -38.3373
Ep: 0-295, Best score: -26.8293, Min: -39.1635, Avg: -31.0128
Ep: 0-294, Best score: -19.8606, Min: -40.9836, Avg: -29.3194
Ep: 0-293, Best score: -16.9329, Min: -37.9085, Avg: -31.6026
Ep: 0-292, Best score: -19.3548, Min: -47.7352, Avg: -38.0563
Ep: 0-291, Best score: -12.5874, Min: -35.5932, Avg: -26.1780
Ep: 0-290, Best score: -8.7719, Min: -36.0269, Avg: -22.9859
Ep: 0-289, Best score: -26.9103, Min: -51.8900, Avg: -37.1182
Ep: 0-288, Best score: -27.2152, Min: -43.9252, Avg: -34.0172
Ep: 0-287, Best score: -20.1389, Min: -79.8658, Avg: -47.5510
Ep: 0-286, Best score: -13.0435, Min: -45.4545, Avg: -29.1928
Ep: 0-285, Best score: -13.6213, Min: -37.7049, Avg: -29.7674
Ep: 0-284, Best score: -32.8622, Min: -45.0980, Avg: -37.3624
Ep: 0-283, Best score: -27.2727, Min: -78.1931, Avg: -44.0610
Ep: 0-282, Best score: -33.0986, Min: -54.5455, Avg: -44.4713
Ep: 0-281, Best score: -27.1523, Min: -72.2222, Avg: -47.2374
Ep: 0-280, Best score: -11.8644, Min: -48.6166, Avg: -30.4392
Ep: 0-279, Best score: -26.7516, Min: -58.0645, Avg: -39.8499
Ep: 0-278, Best score: -5.5944, Min: -76.3780, Avg: -30.2009
Ep: 0-277, Best score: -24.1877, Min: -38.0531, Avg: -33.0029
Ep: 0-276, Best score: -30.7958, Min: -56.5217, Avg: -43.2022
Ep: 0-275, Best score: -23.9130, Min: -50.7042, Avg: -39.7674
Ep: 0-274, Best score: -21.1470, Min: -52.8620, Avg: -37.2529
Ep: 0-273, Best score: -31.2715, Min: -69.0722, Avg: -45.6245
Ep: 0-272, Best score: -17.7632, Min: -50.9434, Avg: -31.9929
Ep: 0-271, Best score: -31.8996, Min: -57.1429, Avg: -40.6337
Ep: 0-270, Best score: -27.2727, Min: -37.6947, Avg: -32.7477
Ep: 0-269, Best score: -33.5664, Min: -40.2516, Avg: -37.2099
Ep: 0-268, Best score: -36.0902, Min: -68.9922, Avg: -48.1124
Ep: 0-267, Best score: -22.8070, Min: -53.7367, Avg: -39.4635
Ep: 0-266, Best score: -27.7978, Min: -34.7826, Avg: -31.0624
Ep: 0-265, Best score: -23.6364, Min: -59.8662, Avg: -42.4515
