Agent: ddpg, Model: <class 'utils.envs.ImgStack'>, State: [64, 64, 2], Dir: pytorch
Ep: 167, Reward: 368.8478, Test: 570.2992 [226.67645736701297], Avg: 419.5203 (0.1830)
Ep: 168, Reward: 379.8308, Test: 553.3971 [230.04376011917725], Avg: 422.4371 (0.1811)
Ep: 169, Reward: 446.8064, Test: 542.6490 [268.2606462158653], Avg: 423.7241 (0.1793)
Ep: 170, Reward: 376.8578, Test: 441.3363 [176.10545952039433], Avg: 424.7150 (0.1775)
Ep: 171, Reward: 455.3945, Test: 430.3517 [190.40235705916825], Avg: 426.0560 (0.1757)
Ep: 172, Reward: 387.6558, Test: 477.9674 [296.3972111094079], Avg: 427.3939 (0.1740)
Ep: 173, Reward: 429.3345, Test: 574.4017 [203.78861202047148], Avg: 430.6627 (0.1705)
Ep: 174, Reward: 466.7357, Test: 389.7355 [190.0230967884267], Avg: 430.8966 (0.1688)
Ep: 175, Reward: 508.1777, Test: 552.7805 [198.70239258222466], Avg: 431.8295 (0.1671)
Ep: 176, Reward: 545.6754, Test: 533.4687 [208.77683304414728], Avg: 433.2657 (0.1655)
Ep: 177, Reward: 602.2920, Test: 591.1419 [165.40414488104958], Avg: 435.0611 (0.1638)
Ep: 178, Reward: 584.4457, Test: 618.2622 [183.83603540559594], Avg: 438.7069 (0.1622)
Ep: 179, Reward: 621.5957, Test: 677.3537 [174.40793101735485], Avg: 442.0346 (0.1605)
Ep: 180, Reward: 610.9778, Test: 819.9392 [55.65651410435269], Avg: 446.7308 (0.1589)
Ep: 181, Reward: 703.2114, Test: 668.4959 [173.95000836446934], Avg: 448.8846 (0.1574)
Ep: 182, Reward: 675.1579, Test: 639.3786 [260.29820317150075], Avg: 451.5050 (0.1558)
Ep: 183, Reward: 757.1245, Test: 788.2876 [113.74396848779885], Avg: 455.2134 (0.1542)
Ep: 184, Reward: 700.0975, Test: 745.8156 [179.67652846143739], Avg: 460.5058 (0.1527)
Ep: 185, Reward: 751.4414, Test: 782.1284 [94.00499088436561], Avg: 464.1561 (0.1512)
Ep: 186, Reward: 707.1796, Test: 732.8243 [171.57110817648825], Avg: 468.8090 (0.1496)
Ep: 187, Reward: 692.8568, Test: 699.3091 [207.68013704746886], Avg: 470.4851 (0.1481)
