Agent: ddpg, Model: <class 'utils.envs.ImgStack'>, State: [64, 64, 2], Dir: pytorch
Ep: 165, Reward: 783.5509, Test: 824.9620, Avg: 227.7357
Ep: 166, Reward: 781.9178, Test: 808.6693, Avg: 236.2520
Ep: 167, Reward: 647.4042, Test: 863.2016, Avg: 245.1994
Ep: 168, Reward: 852.5757, Test: 776.8766, Avg: 253.4733
Ep: 169, Reward: 817.2038, Test: 837.2278, Avg: 262.3462
Ep: 170, Reward: 823.2478, Test: 760.1235, Avg: 270.5244
Ep: 171, Reward: 693.7544, Test: 648.5074, Avg: 277.4437
Ep: 172, Reward: 784.5899, Test: 514.4648, Avg: 282.9291
Ep: 173, Reward: 779.6956, Test: 735.6173, Avg: 290.9492
Ep: 174, Reward: 716.8062, Test: 723.9727, Avg: 298.5995
Ep: 175, Reward: 873.3694, Test: 703.7398, Avg: 306.2432
Ep: 176, Reward: 795.1117, Test: 751.6227, Avg: 314.2150
Ep: 177, Reward: 828.9475, Test: 626.0948, Avg: 321.0393
Ep: 178, Reward: 610.2861, Test: 837.7846, Avg: 329.7951
Ep: 179, Reward: 543.5975, Test: 475.7825, Avg: 334.9230
Ep: 180, Reward: 794.5999, Test: 727.8588, Avg: 342.8204
Ep: 181, Reward: 748.5436, Test: 650.5473, Avg: 349.9259
Ep: 182, Reward: 812.9278, Test: 852.7081, Avg: 359.2532
Ep: 183, Reward: 720.4657, Test: 626.2748, Avg: 365.8636
Ep: 184, Reward: 746.4698, Test: 696.2409, Avg: 373.3993
Ep: 185, Reward: 779.8019, Test: 789.3084, Avg: 381.6697
Ep: 186, Reward: 717.7023, Test: 671.3538, Avg: 388.7849
Ep: 187, Reward: 483.7941, Test: 739.0958, Avg: 396.5891
Ep: 188, Reward: 675.2796, Test: 856.9840, Avg: 405.5979
Ep: 189, Reward: 885.9285, Test: 533.7416, Avg: 411.1222
Ep: 190, Reward: 737.2996, Test: 868.0080, Avg: 420.0956
Ep: 191, Reward: 857.8617, Test: 717.4648, Avg: 427.6078
Ep: 192, Reward: 695.6118, Test: 618.6579, Avg: 433.9353
Ep: 193, Reward: 759.9029, Test: 731.1124, Avg: 441.3290
Ep: 194, Reward: 754.5103, Test: 659.5183, Avg: 447.7274
Ep: 195, Reward: 638.5588, Test: 729.8653, Avg: 454.0082
Ep: 196, Reward: 532.1359, Test: 595.1210, Avg: 460.0521
Ep: 197, Reward: 639.3230, Test: 746.7361, Avg: 467.8161
Ep: 198, Reward: 696.9587, Test: 639.5264, Avg: 474.3205
Ep: 199, Reward: 669.1345, Test: 718.1381, Avg: 481.5431
Ep: 200, Reward: 736.0926, Test: 842.9583, Avg: 489.5896
Ep: 201, Reward: 764.1884, Test: 816.4464, Avg: 497.6606
Ep: 202, Reward: 838.5375, Test: 741.7961, Avg: 504.5250
Ep: 203, Reward: 829.7503, Test: 753.0329, Avg: 510.3513
Ep: 204, Reward: 784.8573, Test: 717.1968, Avg: 516.2067
Ep: 205, Reward: 652.9466, Test: 764.6826, Avg: 522.9464
Ep: 206, Reward: 681.5202, Test: 699.1696, Avg: 527.5546
Ep: 207, Reward: 574.5664, Test: 705.2003, Avg: 532.6521
Ep: 208, Reward: 706.4530, Test: 782.6610, Avg: 538.0402
