Agent: ddpg, Model: <class 'utils.envs.WorldModel'>, State: [288], Dir: iter1/
Ep: 115, Reward: 104.9466, Test: 292.1440 [74.64], Avg: 383.9495 (0.31)
Ep: 116, Reward: 105.4441, Test: 360.5315 [212.04], Avg: 386.7275 (0.31)
Ep: 117, Reward: 51.2793, Test: 434.0150 [234.70], Avg: 390.9488 (0.31)
Ep: 118, Reward: 82.4373, Test: 313.6173 [211.25], Avg: 393.7202 (0.30)
Ep: 119, Reward: 11.0383, Test: 321.4955 [150.77], Avg: 395.1732 (0.30)
Ep: 120, Reward: 9.6408, Test: 316.7392 [158.87], Avg: 397.9564 (0.30)
Ep: 121, Reward: 113.2001, Test: 294.8200 [78.38], Avg: 397.9020 (0.29)
Ep: 122, Reward: 27.9572, Test: 247.8813 [77.81], Avg: 396.9504 (0.29)
Ep: 123, Reward: 88.2398, Test: 370.6065 [125.81], Avg: 395.1673 (0.29)
Ep: 124, Reward: 21.2846, Test: 303.0576 [129.22], Avg: 392.9033 (0.28)
Ep: 125, Reward: 56.0639, Test: 307.8333 [107.06], Avg: 395.2348 (0.28)
Ep: 126, Reward: 65.5600, Test: 301.1556 [200.51], Avg: 398.0083 (0.28)
Ep: 127, Reward: 96.9210, Test: 288.4412 [139.92], Avg: 398.2657 (0.28)
Ep: 128, Reward: 88.9368, Test: 318.1760 [92.38], Avg: 401.4384 (0.27)
Ep: 129, Reward: 115.5356, Test: 377.2995 [203.06], Avg: 404.1821 (0.27)
Ep: 130, Reward: 110.7301, Test: 253.8391 [127.53], Avg: 402.7398 (0.27)
Ep: 131, Reward: 192.8998, Test: 427.8493 [223.43], Avg: 405.5709 (0.27)
Ep: 132, Reward: 199.4800, Test: 401.3762 [138.29], Avg: 405.2366 (0.26)
Ep: 133, Reward: 134.7617, Test: 404.8359 [178.30], Avg: 406.2653 (0.26)
Ep: 134, Reward: 90.8903, Test: 286.2838 [181.09], Avg: 406.2965 (0.26)
Ep: 135, Reward: 117.8135, Test: 334.8805 [147.14], Avg: 406.7476 (0.25)
Ep: 136, Reward: 92.4145, Test: 287.5109 [178.79], Avg: 406.1909 (0.25)
Ep: 137, Reward: 75.5861, Test: 335.0102 [135.57], Avg: 405.8784 (0.25)
Ep: 138, Reward: 116.8602, Test: 322.2680 [156.61], Avg: 404.0407 (0.25)
Ep: 139, Reward: 170.6190, Test: 442.2683 [208.64], Avg: 403.7885 (0.24)
Ep: 140, Reward: 179.6470, Test: 360.3849 [152.48], Avg: 402.6208 (0.24)
Ep: 141, Reward: 173.3778, Test: 329.4861 [182.57], Avg: 400.8104 (0.24)
Ep: 142, Reward: 109.6061, Test: 370.3257 [199.28], Avg: 397.8610 (0.24)
Ep: 143, Reward: 180.9699, Test: 320.6693 [128.20], Avg: 395.8048 (0.24)
Ep: 144, Reward: 213.0182, Test: 282.7987 [141.14], Avg: 393.9940 (0.23)
Ep: 145, Reward: 206.8171, Test: 319.5441 [128.36], Avg: 391.2771 (0.23)
Ep: 146, Reward: 230.0748, Test: 338.0589 [235.91], Avg: 389.7976 (0.23)
Ep: 147, Reward: 177.0634, Test: 256.2178 [119.09], Avg: 386.9574 (0.23)
Ep: 148, Reward: 195.5397, Test: 500.5954 [241.60], Avg: 386.7608 (0.22)
Ep: 149, Reward: 210.6429, Test: 397.9556 [141.79], Avg: 387.4868 (0.22)
Ep: 150, Reward: 237.6714, Test: 450.5569 [146.45], Avg: 389.2805 (0.22)
Ep: 151, Reward: 280.6342, Test: 480.3214 [206.30], Avg: 390.6999 (0.22)
Ep: 152, Reward: 323.0686, Test: 551.4815 [206.09], Avg: 392.9433 (0.21)
Ep: 153, Reward: 272.1670, Test: 346.3213 [103.50], Avg: 391.0267 (0.21)
Ep: 154, Reward: 322.0725, Test: 448.5734 [209.30], Avg: 391.4867 (0.21)
Ep: 155, Reward: 333.1642, Test: 428.7804 [279.77], Avg: 392.3472 (0.21)
Ep: 156, Reward: 309.8365, Test: 280.1282 [195.86], Avg: 390.1348 (0.21)
Ep: 157, Reward: 304.4549, Test: 246.7322 [169.62], Avg: 388.5343 (0.20)
Ep: 158, Reward: 402.4972, Test: 345.7929 [143.97], Avg: 388.3475 (0.20)
Ep: 159, Reward: 339.3149, Test: 272.9350 [200.60], Avg: 386.6960 (0.20)
Ep: 160, Reward: 344.1835, Test: 345.8254 [245.86], Avg: 386.7453 (0.20)
Ep: 161, Reward: 364.6543, Test: 354.8254 [196.96], Avg: 386.5309 (0.20)
Ep: 162, Reward: 324.8877, Test: 371.2580 [183.16], Avg: 385.5105 (0.19)
Ep: 163, Reward: 425.7543, Test: 404.4429 [205.40], Avg: 386.2156 (0.19)
Ep: 164, Reward: 395.2843, Test: 367.6513 [189.22], Avg: 384.6099 (0.19)
Ep: 165, Reward: 591.1072, Test: 509.0604 [273.33], Avg: 385.7268 (0.19)
Ep: 166, Reward: 520.1456, Test: 366.5271 [216.78], Avg: 386.0175 (0.19)
Ep: 167, Reward: 464.1224, Test: 527.7903 [244.51], Avg: 386.2858 (0.18)
Ep: 168, Reward: 424.8987, Test: 332.1521 [114.77], Avg: 384.5131 (0.18)
Ep: 169, Reward: 527.5644, Test: 404.4947 [172.93], Avg: 383.4668 (0.18)
Ep: 170, Reward: 500.8181, Test: 323.2942 [205.59], Avg: 379.7063 (0.18)
Ep: 171, Reward: 498.1536, Test: 540.6269 [283.78], Avg: 377.7820 (0.18)
Ep: 172, Reward: 447.4481, Test: 316.6747 [160.62], Avg: 378.0285 (0.18)
Ep: 173, Reward: 474.7332, Test: 550.7139 [275.27], Avg: 379.3433 (0.17)
Ep: 174, Reward: 478.4126, Test: 481.6220 [220.48], Avg: 380.4364 (0.17)
Ep: 175, Reward: 570.4911, Test: 594.8803 [223.79], Avg: 380.9667 (0.17)
Ep: 176, Reward: 589.8049, Test: 530.0172 [263.99], Avg: 382.5864 (0.17)
Ep: 177, Reward: 682.1868, Test: 513.4072 [220.86], Avg: 384.2532 (0.17)
Ep: 178, Reward: 604.2605, Test: 426.1677 [277.68], Avg: 383.8717 (0.17)
Ep: 179, Reward: 630.3557, Test: 507.7218 [160.15], Avg: 385.4838 (0.16)
Ep: 180, Reward: 640.7522, Test: 665.0183 [214.43], Avg: 388.2284 (0.16)
Ep: 181, Reward: 681.0590, Test: 654.0529 [150.30], Avg: 391.1307 (0.16)
Ep: 182, Reward: 713.6983, Test: 369.9533 [278.13], Avg: 391.4738 (0.16)
Ep: 183, Reward: 663.0770, Test: 631.3988 [193.16], Avg: 393.5645 (0.16)
Ep: 184, Reward: 783.5789, Test: 471.6260 [271.70], Avg: 394.5336 (0.16)
Ep: 185, Reward: 763.2422, Test: 576.8968 [206.85], Avg: 396.9239 (0.15)
Ep: 186, Reward: 741.3898, Test: 640.8419 [240.56], Avg: 399.5038 (0.15)
Ep: 187, Reward: 729.1338, Test: 584.4217 [242.07], Avg: 402.0654 (0.15)
Ep: 188, Reward: 724.6859, Test: 672.7731 [256.47], Avg: 404.6175 (0.15)
Ep: 189, Reward: 677.7649, Test: 578.8276 [191.97], Avg: 406.4683 (0.15)
Ep: 190, Reward: 702.5170, Test: 532.3289 [244.34], Avg: 407.2672 (0.15)
Ep: 191, Reward: 688.0897, Test: 628.5654 [252.99], Avg: 409.3620 (0.15)
Ep: 192, Reward: 721.5024, Test: 716.1070 [175.73], Avg: 411.6471 (0.14)
Ep: 193, Reward: 678.0749, Test: 487.9212 [236.84], Avg: 409.7512 (0.14)
Ep: 194, Reward: 610.0307, Test: 432.9364 [246.25], Avg: 406.9742 (0.14)
Ep: 195, Reward: 694.7573, Test: 564.5180 [217.89], Avg: 408.1621 (0.14)
Ep: 196, Reward: 719.1660, Test: 677.1738 [228.38], Avg: 411.1347 (0.14)
Ep: 197, Reward: 770.8482, Test: 605.9637 [198.71], Avg: 412.3907 (0.14)
Ep: 198, Reward: 699.4068, Test: 655.7725 [254.82], Avg: 416.1025 (0.14)
Ep: 199, Reward: 668.5294, Test: 488.3556 [258.57], Avg: 417.2823 (0.13)
Ep: 200, Reward: 777.2822, Test: 485.9144 [251.09], Avg: 418.0105 (0.13)
Ep: 201, Reward: 754.0615, Test: 776.4022 [155.43], Avg: 421.8484 (0.13)
Ep: 202, Reward: 746.9973, Test: 521.0944 [241.82], Avg: 423.3058 (0.13)
Ep: 203, Reward: 727.5395, Test: 640.5273 [229.74], Avg: 426.6508 (0.13)
Ep: 204, Reward: 603.5050, Test: 489.6759 [256.56], Avg: 428.5077 (0.13)
Ep: 205, Reward: 627.5357, Test: 549.4298 [275.93], Avg: 428.4900 (0.13)
Ep: 206, Reward: 648.5945, Test: 558.8804 [271.66], Avg: 428.5702 (0.12)
Ep: 207, Reward: 643.6419, Test: 533.6547 [225.22], Avg: 428.6686 (0.12)
Ep: 208, Reward: 627.2664, Test: 827.2987 [64.44], Avg: 432.9039 (0.12)
Ep: 209, Reward: 720.4532, Test: 644.6099 [202.73], Avg: 436.2965 (0.12)
Ep: 210, Reward: 638.9783, Test: 551.8397 [184.76], Avg: 438.6654 (0.12)
Ep: 211, Reward: 737.3492, Test: 614.5010 [248.55], Avg: 441.5423 (0.12)
Ep: 212, Reward: 652.9677, Test: 606.5078 [267.03], Avg: 444.2801 (0.12)
Ep: 213, Reward: 606.2588, Test: 759.6774 [193.87], Avg: 449.3309 (0.12)
Ep: 214, Reward: 795.3208, Test: 696.6149 [203.93], Avg: 453.3283 (0.12)
Ep: 215, Reward: 635.3893, Test: 726.7839 [170.58], Avg: 457.6747 (0.11)
Ep: 216, Reward: 601.0526, Test: 581.7510 [203.53], Avg: 459.8869 (0.11)
Ep: 217, Reward: 721.4718, Test: 593.0003 [273.41], Avg: 461.4767 (0.11)
Ep: 218, Reward: 599.2379, Test: 786.6137 [106.38], Avg: 466.2067 (0.11)
Ep: 219, Reward: 653.0718, Test: 608.2639 [240.10], Avg: 469.0744 (0.11)
Ep: 220, Reward: 700.6346, Test: 566.5247 [292.36], Avg: 471.5722 (0.11)
Ep: 221, Reward: 650.9693, Test: 815.1722 [23.79], Avg: 476.7758 (0.11)
Ep: 222, Reward: 751.5565, Test: 692.1305 [208.64], Avg: 481.2183 (0.11)
Ep: 223, Reward: 601.2264, Test: 741.5209 [158.68], Avg: 484.9274 (0.11)
Ep: 224, Reward: 616.7588, Test: 725.1911 [182.75], Avg: 489.1487 (0.10)
Ep: 225, Reward: 713.5013, Test: 641.7875 [295.21], Avg: 492.4883 (0.10)
Ep: 226, Reward: 822.4574, Test: 673.1074 [255.88], Avg: 496.2078 (0.10)
Ep: 227, Reward: 752.5858, Test: 687.8237 [212.08], Avg: 500.2016 (0.10)
Ep: 228, Reward: 731.2303, Test: 712.9244 [225.28], Avg: 504.1491 (0.10)
Ep: 229, Reward: 859.4910, Test: 803.1078 [152.40], Avg: 508.4072 (0.10)
Ep: 230, Reward: 806.4560, Test: 711.7917 [264.84], Avg: 512.9867 (0.10)
Ep: 231, Reward: 785.5376, Test: 794.8915 [196.99], Avg: 516.6571 (0.10)
Ep: 232, Reward: 781.4918, Test: 763.3079 [268.63], Avg: 520.2765 (0.10)
Ep: 233, Reward: 816.8751, Test: 786.3332 [192.39], Avg: 524.0914 (0.10)
Ep: 234, Reward: 911.2528, Test: 667.7667 [234.20], Avg: 527.9063 (0.09)
Ep: 235, Reward: 737.3402, Test: 794.5594 [188.08], Avg: 532.5031 (0.09)
Ep: 236, Reward: 817.8507, Test: 789.4803 [179.14], Avg: 537.5227 (0.09)
Ep: 237, Reward: 751.8462, Test: 685.0978 [196.12], Avg: 541.0236 (0.09)
Ep: 238, Reward: 769.4374, Test: 855.2630 [28.32], Avg: 546.3536 (0.09)
Ep: 239, Reward: 850.2673, Test: 854.7198 [21.94], Avg: 550.4781 (0.09)
Ep: 240, Reward: 836.6206, Test: 824.8340 [61.78], Avg: 555.1226 (0.09)
Ep: 241, Reward: 696.7239, Test: 599.2593 [260.12], Avg: 557.8203 (0.09)
Ep: 242, Reward: 848.0231, Test: 780.0270 [145.45], Avg: 561.9173 (0.09)
Ep: 243, Reward: 766.6114, Test: 716.7609 [201.89], Avg: 565.8782 (0.09)
Ep: 244, Reward: 744.2386, Test: 819.6616 [58.64], Avg: 571.2469 (0.09)
Ep: 245, Reward: 712.8740, Test: 734.6713 [183.41], Avg: 575.3981 (0.08)
Ep: 246, Reward: 767.1235, Test: 649.2332 [216.90], Avg: 578.5099 (0.08)
Ep: 247, Reward: 666.6604, Test: 848.0759 [38.38], Avg: 584.4285 (0.08)
Ep: 248, Reward: 749.5015, Test: 789.7923 [141.09], Avg: 587.3204 (0.08)
Ep: 249, Reward: 644.1220, Test: 527.1855 [316.78], Avg: 588.6127 (0.08)
Ep: 250, Reward: 679.6808, Test: 706.9414 [141.56], Avg: 591.1766 (0.08)
Ep: 251, Reward: 686.2178, Test: 722.4782 [162.67], Avg: 593.5981 (0.08)
Ep: 252, Reward: 774.4405, Test: 792.6260 [142.36], Avg: 596.0096 (0.08)
Ep: 253, Reward: 722.2494, Test: 779.0149 [107.40], Avg: 600.3365 (0.08)
Ep: 254, Reward: 772.9551, Test: 824.5074 [51.44], Avg: 604.0959 (0.08)
Ep: 255, Reward: 771.3316, Test: 808.7476 [43.40], Avg: 607.8955 (0.08)
Ep: 256, Reward: 665.9296, Test: 506.2474 [191.69], Avg: 610.1567 (0.08)
Ep: 257, Reward: 667.8043, Test: 762.4473 [193.62], Avg: 615.3139 (0.07)
Ep: 258, Reward: 707.0043, Test: 738.8041 [104.98], Avg: 619.2440 (0.07)
Ep: 259, Reward: 698.3543, Test: 739.7675 [118.99], Avg: 623.9123 (0.07)
Ep: 260, Reward: 633.1054, Test: 648.3948 [159.18], Avg: 626.9380 (0.07)
Ep: 261, Reward: 531.4470, Test: 618.5437 [215.88], Avg: 629.5752 (0.07)
Ep: 262, Reward: 684.3689, Test: 648.5803 [183.78], Avg: 632.3484 (0.07)
Ep: 263, Reward: 661.8438, Test: 717.9256 [219.41], Avg: 635.4832 (0.07)
Ep: 264, Reward: 655.0043, Test: 704.1384 [214.64], Avg: 638.8481 (0.07)
Ep: 265, Reward: 702.8401, Test: 772.8660 [137.34], Avg: 641.4862 (0.07)
Ep: 266, Reward: 787.4061, Test: 792.2721 [138.42], Avg: 645.7436 (0.07)
Ep: 267, Reward: 702.4839, Test: 817.5440 [92.49], Avg: 648.6412 (0.07)
Ep: 268, Reward: 653.5843, Test: 815.3210 [94.05], Avg: 653.4728 (0.07)
Ep: 269, Reward: 729.1127, Test: 711.6253 [219.64], Avg: 656.5442 (0.07)
Ep: 270, Reward: 643.6996, Test: 830.7166 [59.74], Avg: 661.6184 (0.07)
Ep: 271, Reward: 838.6227, Test: 809.4074 [108.91], Avg: 664.3062 (0.06)
Ep: 272, Reward: 831.1557, Test: 738.0490 [227.11], Avg: 668.5199 (0.06)
Ep: 273, Reward: 795.2920, Test: 866.8036 [35.26], Avg: 671.6808 (0.06)
Ep: 274, Reward: 751.9347, Test: 819.2505 [65.18], Avg: 675.0571 (0.06)
Ep: 275, Reward: 674.7018, Test: 831.0931 [118.36], Avg: 677.4192 (0.06)
Ep: 276, Reward: 744.9924, Test: 770.3675 [189.41], Avg: 679.8227 (0.06)
Ep: 277, Reward: 696.6134, Test: 844.7784 [70.01], Avg: 683.1365 (0.06)
Ep: 278, Reward: 897.9687, Test: 856.4435 [31.47], Avg: 687.4392 (0.06)
Ep: 279, Reward: 862.3244, Test: 798.5979 [92.60], Avg: 690.3480 (0.06)
Ep: 280, Reward: 804.9263, Test: 816.7063 [62.10], Avg: 691.8649 (0.06)
Ep: 281, Reward: 802.7920, Test: 813.7866 [151.28], Avg: 693.4622 (0.06)
Ep: 282, Reward: 910.3087, Test: 822.8938 [123.96], Avg: 697.9916 (0.06)
Ep: 283, Reward: 695.6285, Test: 859.0217 [33.08], Avg: 700.2678 (0.06)
Ep: 284, Reward: 891.6008, Test: 816.1200 [171.29], Avg: 703.7128 (0.06)
Ep: 285, Reward: 789.8444, Test: 789.8596 [114.08], Avg: 705.8424 (0.06)
Ep: 286, Reward: 574.5987, Test: 874.2077 [26.31], Avg: 708.1761 (0.06)
Ep: 287, Reward: 819.3998, Test: 784.7006 [198.89], Avg: 710.1788 (0.05)
Ep: 288, Reward: 779.4064, Test: 645.7743 [277.23], Avg: 709.9089 (0.05)
Ep: 289, Reward: 780.5227, Test: 811.8483 [86.16], Avg: 712.2391 (0.05)
Ep: 290, Reward: 837.7478, Test: 816.5264 [43.13], Avg: 715.0810 (0.05)
Ep: 291, Reward: 737.2786, Test: 734.9596 [202.35], Avg: 716.1450 (0.05)
Ep: 292, Reward: 711.1440, Test: 847.4526 [46.49], Avg: 717.4584 (0.05)
Ep: 293, Reward: 633.1536, Test: 790.5635 [48.81], Avg: 720.4849 (0.05)
Ep: 294, Reward: 837.4075, Test: 774.1662 [144.55], Avg: 723.8972 (0.05)
